,acousticness
0,0.0102
1,0.199
2,0.0344
3,0.604
4,0.18
5,0.00479
6,0.0145
7,0.0202
8,0.0481
9,0.00208
10,0.0572
11,0.0915
12,0.253
13,0.366
14,0.44
15,0.019
16,0.0239
17,0.233
18,0.314
19,0.0242
20,0.000702
21,0.00024
22,0.118
23,0.000596
24,0.279
25,0.00219
26,0.341
27,0.018
28,0.0516
29,0.282
30,0.00791
31,0.0219
32,0.0358
33,0.0324
34,0.118
35,0.0428
36,0.297
37,0.0565
38,0.0128
39,0.135
40,0.00041
41,0.00356
42,0.00156
43,0.00243
44,0.533
45,0.00631
46,0.00182
47,0.0923
48,0.375
49,0.183
50,0.0185
51,0.0638
52,0.456
53,0.128
54,0.246
55,0.12
56,0.00426
57,0.193
58,0.0174
59,0.000392
60,0.435
61,0.257
62,0.000145
63,0.273
64,0.374
65,0.00266
66,0.000546
67,0.00781
68,0.125
69,0.00158
70,0.0132
71,0.783
72,0.518
73,0.0548
74,0.727
75,0.000313
76,0.34
77,0.47
78,0.855
79,0.00502
80,0.555
81,0.186
82,0.0249
83,0.0108
84,0.193
85,0.0192
86,0.00776
87,0.17
88,0.0221
89,0.0397
90,0.0213
91,0.0454
92,0.00672
93,0.00488
94,0.00419
95,0.17
96,0.0604
97,0.0571
98,0.716
99,0.0151
100,0.228
101,0.017
102,0.247
103,0.123
104,0.00705
105,0.181
106,0.378
107,0.677
108,0.488
109,0.487
110,0.7
111,0.403
112,0.656
113,0.00904
114,0.141
115,0.119
116,0.0659
117,0.00257
118,0.00256
119,0.0244
120,0.013
121,0.0127
122,0.00943
123,0.000758
124,0.674
125,0.0161
126,0.107
127,0.0134
128,0.0219
129,0.0452
130,0.0551
131,0.0224
132,0.244
133,0.0668
134,7.19E-05
135,0.0227
136,0.103
137,0.0956
138,0.00919
139,0.354
140,0.00469
141,0.00102
142,0.0512
143,0.0252
144,0.221
145,0.937
146,2.13E-05
147,0.284
148,0.0962
149,0.334
150,0.0648
151,0.185
152,0.689
153,0.000472
154,0.00157
155,0.0233
156,0.00212
157,0.0734
158,0.19
159,0.188
160,0.461
161,0.0111
162,0.0496
163,0.149
164,0.0682
165,0.489
166,0.000259
167,0.217
168,0.0472
169,0.228
170,0.00689
171,0.0109
172,0.0246
173,0.00399
174,0.037
175,0.0789
176,0.141
177,0.108
178,0.0108
179,0.0107
180,0.0107
181,0.0315
182,0.00807
183,0.64
184,0.0414
185,0.0127
186,0.0585
187,0.00856
188,0.019
189,0.0488
190,0.365
191,0.17
192,0.0346
193,0.0361
194,0.00818
195,0.613
196,0.00275
197,0.064
198,0.00192
199,0.0212
200,0.0516
201,0.0855
202,0.0293
203,0.00731
204,0.000467
205,0.0411
206,0.000195
207,0.827
208,0.39
209,0.00471
210,0.827
211,0.0628
212,0.00919
213,0.0027
214,0.385
215,0.0304
216,0.105
217,0.359
218,0.119
219,0.0112
220,0.251
221,0.0696
222,0.403
223,0.849
224,0.0862
225,0.000156
226,0.0398
227,0.0448
228,0.000686
229,0.0107
230,0.377
231,0.0988
232,0.0913
233,0.0778
234,0.0608
235,0.011
236,0.0249
237,0.642
238,0.538
239,0.0172
240,0.0639
241,0.245
242,0.00101
243,0.254
244,0.0117
245,0.0626
246,0.479
