,danceability
0,0.833
1,0.743
2,0.838
3,0.494
4,0.678
5,0.804
6,0.739
7,0.266
8,0.603
9,0.836
10,0.525
11,0.753
12,0.603
13,0.762
14,0.662
15,0.637
16,0.603
17,0.789
18,0.713
19,0.735
20,0.854
21,0.747
22,0.854
23,0.224
24,0.512
25,0.781
26,0.411
27,0.646
28,0.782
29,0.735
30,0.45
31,0.897
32,0.959
33,0.742
34,0.805
35,0.667
36,0.722
37,0.853
38,0.747
39,0.777
40,0.731
41,0.76
42,0.624
43,0.621
44,0.64
45,0.715
46,0.7
47,0.789
48,0.796
49,0.716
50,0.74
51,0.7
52,0.514
53,0.313
54,0.676
55,0.532
56,0.646
57,0.598
58,0.754
59,0.294
60,0.622
61,0.559
62,0.54
63,0.793
64,0.549
65,0.557
66,0.597
67,0.879
68,0.726
69,0.857
70,0.807
71,0.596
72,0.683
73,0.768
74,0.506
75,0.457
76,0.468
77,0.537
78,0.515
79,0.429
80,0.791
81,0.711
82,0.683
83,0.309
84,0.867
85,0.619
86,0.898
87,0.589
88,0.606
89,0.786
90,0.734
91,0.812
92,0.876
93,0.601
94,0.748
95,0.615
96,0.799
97,0.398
98,0.685
99,0.706
100,0.63
101,0.57
102,0.525
103,0.698
104,0.763
105,0.511
106,0.506
107,0.513
108,0.251
109,0.559
110,0.431
111,0.683
112,0.78
113,0.614
114,0.661
115,0.564
116,0.751
117,0.896
118,0.618
119,0.746
120,0.888
121,0.443
122,0.507
123,0.695
124,0.462
125,0.526
126,0.645
127,0.405
128,0.735
129,0.746
130,0.547
131,0.634
132,0.607
133,0.704
134,0.558
135,0.698
136,0.772
137,0.788
138,0.944
139,0.729
140,0.721
141,0.798
142,0.851
143,0.34
144,0.767
145,0.772
146,0.259
147,0.633
148,0.654
149,0.726
150,0.855
151,0.704
152,0.658
153,0.502
154,0.79
155,0.738
156,0.777
157,0.791
158,0.735
159,0.556
160,0.427
161,0.563
162,0.753
163,0.785
164,0.557
165,0.594
166,0.644
167,0.704
168,0.849
169,0.628
170,0.717
171,0.584
172,0.586
173,0.648
174,0.807
175,0.577
176,0.5
177,0.804
178,0.787
179,0.246
180,0.882
181,0.628
182,0.451
183,0.518
184,0.774
185,0.547
186,0.552
187,0.542
188,0.695
189,0.633
190,0.312
191,0.43
192,0.19
193,0.312
194,0.539
195,0.698
196,0.476
197,0.568
198,0.558
199,0.604
200,0.718
201,0.737
202,0.769
203,0.567
204,0.817
205,0.767
206,0.77
207,0.712
208,0.706
209,0.542
210,0.583
211,0.727
212,0.45
213,0.602
214,0.415
215,0.614
216,0.901
217,0.7
218,0.583
219,0.6
220,0.786
221,0.512
222,0.791
223,0.533
224,0.731
225,0.853
226,0.674
227,0.788
228,0.745
229,0.621
230,0.818
231,0.856
232,0.614
233,0.729
234,0.42
235,0.757
236,0.618
237,0.657
238,0.879
239,0.496
240,0.742
241,0.623
242,0.736
243,0.482
244,0.683
245,0.697
246,0.631
247,0.747
248,0.569
249,0.674
250,0.578
251,0.586
252,0.756
253,0.723
254,0.599
255,0.586
256,0.749
257,0.689
258,0.283
259,0.413
260,0.932
261,0.748
262,0.53
263,0.388
264,0.371
265,0.875
266,0.523
267,0.654
268,0.847
269,0.836
270,0.413
271,0.473
272,0.609
273,0.544
274,0.379
275,0.316
276,0.857
277,0.389
278,0.519
279,0.478
280,0.706
281,0.736
282,0.651
283,0.869
284,0.624
285,0.386
286,0.234
287,0.525
288,0.521
289,0.719
290,0.722
291,0.806
292,0.763
293,0.736
294,0.651
295,0.479
296,0.535
297,0.356
298,0.753
299,0.694
300,0.483
301,0.878
302,0.703
303,0.688
304,0.316
305,0.725
306,0.749
307,0.771
308,0.69
309,0.648
310,0.403
311,0.664
312,0.704
313,0.554
314,0.446
315,0.612
316,0.587
317,0.551
318,0.331
319,0.912
320,0.697
321,0.883
322,0.733
323,0.803
324,0.698
325,0.677
326,0.648
327,0.65
328,0.672
329,0.838
330,0.76
331,0.646
332,0.808
333,0.716
334,0.846
335,0.704
336,0.305
337,0.82
338,0.185
339,0.562
340,0.565
341,0.464
342,0.576
343,0.388
344,0.637
345,0.636
346,0.688
347,0.766
348,0.402
349,0.599
350,0.837
351,0.612
352,0.63
353,0.614
354,0.446
355,0.481
356,0.293
357,0.889
358,0.673
359,0.536
360,0.575
361,0.571
362,0.784
363,0.746
364,0.444
365,0.736
366,0.915
367,0.75
368,0.632
369,0.814
370,0.893
371,0.823
372,0.639
373,0.49
374,0.289
375,0.615
376,0.808
377,0.775
378,0.393
379,0.449
380,0.595
381,0.728
382,0.561
383,0.758
384,0.782
385,0.839
386,0.226
387,0.763
388,0.858
389,0.329
390,0.727
391,0.318
392,0.61
393,0.646
394,0.79
395,0.484
396,0.785
397,0.715
398,0.811
399,0.597
400,0.6
401,0.811
402,0.797
403,0.799
404,0.769
405,0.865
406,0.826
407,0.508
408,0.85
409,0.819
410,0.896
411,0.401
412,0.346
413,0.697
414,0.605
415,0.691
416,0.428
417,0.555
418,0.732
419,0.633
420,0.284
421,0.68
422,0.578
423,0.658
424,0.385
425,0.735
426,0.635
427,0.569
428,0.469
429,0.502
430,0.597
431,0.673
432,0.507
433,0.517
434,0.356
435,0.563
436,0.567
437,0.633
438,0.445
439,0.575
440,0.662
441,0.573
442,0.605
443,0.374
444,0.714
445,0.207
446,0.589
447,0.36
448,0.516
449,0.579
450,0.845
451,0.568
452,0.716
453,0.791
454,0.795
455,0.584
456,0.679
457,0.646
458,0.704
459,0.812
460,0.76
461,0.657
462,0.731
463,0.805
464,0.718
465,0.597
466,0.698
467,0.823
468,0.819
469,0.671
470,0.872
471,0.85
472,0.36
473,0.76
474,0.874
475,0.527
476,0.767
477,0.328
478,0.702
479,0.654
480,0.448
481,0.542
482,0.469
483,0.857
484,0.796
485,0.67
486,0.697
487,0.352
488,0.687
489,0.666
490,0.764
491,0.677
492,0.735
493,0.286
494,0.881
495,0.246
496,0.515
497,0.816
498,0.715
499,0.829
500,0.444
501,0.612
502,0.7
503,0.754
504,0.327
505,0.646
506,0.486
507,0.551
508,0.586
509,0.694
510,0.817
511,0.611
512,0.727
513,0.485
514,0.52
515,0.399
516,0.582
517,0.852
518,0.623
519,0.844
520,0.684
521,0.498
522,0.162
523,0.671
524,0.792
525,0.417
526,0.739
527,0.791
528,0.491
529,0.748
530,0.351
531,0.48
532,0.123
533,0.401
534,0.228
535,0.465
536,0.438
537,0.396
538,0.596
539,0.276
540,0.241
541,0.821
542,0.354
543,0.638
544,0.651
545,0.625
546,0.759
547,0.726
548,0.611
549,0.865
550,0.794
551,0.614
552,0.535
553,0.815
554,0.595
555,0.683
556,0.722
557,0.647
558,0.428
559,0.325
560,0.912
561,0.771
562,0.759
563,0.691
564,0.701
565,0.736
566,0.564
567,0.824
568,0.406
569,0.762
570,0.54
571,0.834
572,0.714
573,0.36
574,0.609
575,0.777
576,0.749
577,0.67
578,0.684
579,0.633
580,0.594
581,0.473
582,0.931
583,0.744
584,0.752
585,0.821
586,0.908
587,0.636
588,0.839
589,0.79
590,0.787
591,0.603
592,0.937
593,0.748
594,0.727
595,0.857
596,0.793
597,0.738
598,0.864
599,0.688
600,0.786
601,0.734
602,0.765
603,0.725
604,0.962
605,0.845
606,0.5
607,0.648
608,0.77
609,0.61
610,0.663
611,0.831
612,0.653
613,0.72
614,0.808
615,0.798
616,0.586
617,0.695
618,0.587
619,0.675
620,0.671
621,0.632
622,0.774
623,0.941
624,0.794
625,0.805
626,0.394
627,0.635
628,0.669
629,0.742
630,0.624
631,0.622
632,0.719
633,0.525
634,0.525
635,0.472
636,0.9
637,0.802
638,0.723
639,0.797
640,0.869
641,0.756
642,0.821
643,0.806
644,0.702
645,0.646
646,0.491
647,0.291
648,0.683
649,0.799
650,0.836
651,0.931
652,0.683
653,0.379
654,0.771
655,0.695
656,0.375
657,0.421
658,0.886
659,0.65
660,0.76
661,0.824
662,0.482
663,0.786
664,0.853
665,0.794
666,0.725
667,0.854
668,0.862
669,0.432
670,0.847
671,0.654
672,0.701
673,0.844
674,0.582
675,0.697
676,0.766
677,0.872
678,0.621
679,0.675
680,0.689
681,0.63
682,0.514
683,0.599
684,0.64
685,0.599
686,0.667
687,0.742
688,0.874
689,0.726
690,0.834
691,0.712
692,0.422
693,0.651
694,0.728
695,0.907
696,0.855
697,0.769
698,0.7
699,0.825
700,0.607
701,0.751
702,0.723
703,0.626
704,0.743
705,0.752
706,0.66
707,0.211
708,0.528
709,0.442
710,0.876
711,0.67
712,0.237
713,0.59
714,0.907
715,0.764
716,0.667
717,0.772
718,0.345
719,0.502
720,0.35
721,0.69
722,0.716
723,0.624
724,0.74
725,0.81
726,0.574
727,0.741
728,0.667
729,0.122
730,0.869
731,0.841
732,0.816
733,0.288
734,0.57
735,0.807
736,0.656
737,0.333
738,0.652
739,0.771
740,0.619
741,0.701
742,0.683
743,0.507
744,0.529
745,0.561
746,0.827
747,0.359
748,0.589
749,0.597
750,0.677
751,0.556
752,0.348
753,0.468
754,0.529
755,0.824
756,0.645
757,0.683
758,0.85
759,0.868
760,0.702
761,0.741
762,0.655
763,0.749
764,0.742
765,0.805
766,0.876
767,0.541
768,0.857
769,0.771
770,0.761
771,0.805
772,0.682
773,0.801
774,0.661
775,0.895
776,0.706
777,0.516
778,0.653
779,0.707
780,0.794
781,0.484
782,0.487
783,0.6
784,0.628
785,0.227
786,0.275
787,0.644
788,0.564
789,0.277
790,0.609
791,0.417
792,0.784
793,0.289
794,0.313
795,0.803
796,0.895
797,0.598
798,0.749
799,0.758
800,0.746
801,0.191
802,0.856
803,0.583
804,0.22
805,0.535
806,0.722
807,0.747
808,0.63
809,0.508
810,0.54
811,0.665
812,0.51
813,0.665
814,0.647
815,0.649
816,0.683
817,0.148
818,0.873
819,0.376
820,0.523
821,0.586
822,0.827
823,0.589
824,0.702
825,0.582
826,0.374
827,0.422
828,0.474
829,0.61
830,0.571
831,0.802
832,0.793
833,0.846
834,0.575
835,0.787
836,0.614
837,0.835
838,0.696
839,0.597
840,0.609
841,0.571
842,0.494
843,0.347
844,0.684
845,0.787
846,0.696
847,0.894
848,0.81
849,0.739
850,0.641
851,0.829
852,0.777
853,0.567
854,0.44
855,0.745
856,0.616
857,0.462
858,0.334
859,0.686
860,0.691
861,0.592
862,0.653
863,0.86
864,0.682
865,0.703
866,0.444
867,0.476
868,0.313
869,0.636
870,0.632
871,0.43
872,0.833
873,0.688
874,0.438
875,0.789
876,0.819
877,0.366
878,0.71
879,0.582
880,0.545
881,0.479
882,0.564
883,0.89
884,0.363
885,0.867
886,0.59
887,0.832
888,0.839
889,0.447
890,0.598
891,0.643
892,0.746
893,0.906
894,0.907
895,0.578
896,0.808
897,0.745
898,0.634
899,0.603
900,0.587
901,0.93
902,0.585
903,0.803
904,0.757
905,0.729
906,0.76
907,0.79
908,0.786
909,0.708
910,0.729
911,0.76
912,0.661
913,0.704
914,0.606
915,0.587
916,0.66
917,0.34
918,0.723
919,0.285
920,0.63
921,0.418
922,0.529
923,0.465
924,0.69
925,0.449
926,0.582
927,0.44
928,0.669
929,0.622
930,0.286
931,0.373
932,0.906
933,0.789
934,0.822
935,0.756
936,0.555
937,0.897
938,0.654
939,0.679
940,0.804
941,0.815
942,0.499
943,0.84
944,0.816
945,0.646
946,0.658
947,0.865
948,0.754
949,0.89
950,0.731
951,0.748
952,0.744
953,0.77
954,0.663
955,0.236
956,0.354
957,0.367
958,0.58
959,0.916
960,0.767
961,0.864
962,0.457
963,0.785
964,0.418
965,0.81
966,0.588
967,0.841
968,0.775
969,0.85
970,0.413
971,0.76
972,0.409
973,0.342
974,0.606
975,0.647
976,0.709
977,0.378
978,0.555
979,0.735
980,0.607
981,0.448
982,0.507
983,0.667
984,0.855
985,0.739
986,0.833
987,0.654
988,0.514
989,0.468
990,0.756
991,0.869
992,0.709
993,0.521
994,0.858
995,0.566
996,0.701
997,0.772
998,0.714
999,0.515
1000,0.859
1001,0.709
1002,0.699
1003,0.497
1004,0.832
1005,0.88
1006,0.506
1007,0.732
1008,0.539
1009,0.494
1010,0.545
1011,0.739
1012,0.603
1013,0.667
1014,0.561
1015,0.812
1016,0.745
1017,0.673
1018,0.794
1019,0.575
1020,0.64
1021,0.587
1022,0.631
1023,0.589
1024,0.612
1025,0.553
1026,0.548
1027,0.528
1028,0.663
1029,0.53
1030,0.525
1031,0.553
1032,0.533
1033,0.726
1034,0.584
1035,0.443
1036,0.521
1037,0.476
1038,0.591
1039,0.5
1040,0.674
1041,0.631
1042,0.562
1043,0.638
1044,0.409
1045,0.434
1046,0.439
1047,0.533
1048,0.434
1049,0.523
1050,0.612
1051,0.51
1052,0.55
1053,0.596
1054,0.622
1055,0.659
1056,0.479
1057,0.56
1058,0.512
1059,0.403
1060,0.536
1061,0.685
1062,0.71
1063,0.731
1064,0.501
1065,0.425
1066,0.458
1067,0.488
1068,0.482
1069,0.442
1070,0.555
1071,0.41
1072,0.507
1073,0.69
1074,0.641
1075,0.655
1076,0.529
1077,0.681
1078,0.694
1079,0.755
1080,0.684
1081,0.746
1082,0.683
1083,0.747
1084,0.706
1085,0.859
1086,0.489
1087,0.889
1088,0.832
1089,0.685
1090,0.639
1091,0.66
1092,0.761
1093,0.792
1094,0.76
1095,0.711
1096,0.735
1097,0.663
1098,0.508
1099,0.745
1100,0.772
1101,0.761
1102,0.761
1103,0.776
1104,0.685
1105,0.724
1106,0.746
1107,0.817
1108,0.721
1109,0.732
1110,0.682
1111,0.73
1112,0.724
1113,0.68
1114,0.827
1115,0.832
1116,0.688
1117,0.899
1118,0.724
1119,0.712
1120,0.801
1121,0.49
1122,0.768
1123,0.725
1124,0.612
1125,0.67
1126,0.779
1127,0.712
1128,0.648
1129,0.499
1130,0.385
1131,0.561
1132,0.613
1133,0.623
1134,0.616
1135,0.607
1136,0.95
1137,0.63
1138,0.608
1139,0.774
1140,0.857
1141,0.44
1142,0.696
1143,0.633
1144,0.711
1145,0.76
1146,0.565
1147,0.457
1148,0.622
1149,0.703
1150,0.66
1151,0.741
1152,0.726
1153,0.656
1154,0.565
1155,0.549
1156,0.754
1157,0.741
1158,0.87
1159,0.718
1160,0.624
1161,0.726
1162,0.905
1163,0.747
1164,0.696
1165,0.673
1166,0.607
1167,0.415
1168,0.648
1169,0.747
1170,0.76
1171,0.763
1172,0.667
1173,0.833
1174,0.803
1175,0.516
1176,0.532
1177,0.704
1178,0.853
1179,0.623
1180,0.748
1181,0.736
1182,0.584
1183,0.804
1184,0.825
1185,0.608
1186,0.748
1187,0.828
1188,0.72
1189,0.646
1190,0.755
1191,0.75
1192,0.467
1193,0.66
1194,0.635
1195,0.375
1196,0.352
1197,0.673
1198,0.581
1199,0.72
1200,0.599
1201,0.62
1202,0.657
1203,0.715
1204,0.786
1205,0.755
1206,0.859
1207,0.612
1208,0.809
1209,0.842
1210,0.745
1211,0.725
1212,0.579
1213,0.663
1214,0.818
1215,0.81
1216,0.441
1217,0.688
1218,0.427
1219,0.592
1220,0.753
1221,0.548
1222,0.635
1223,0.697
1224,0.583
1225,0.862
1226,0.68
1227,0.772
1228,0.709
1229,0.627
1230,0.567
1231,0.547
1232,0.335
1233,0.468
1234,0.322
1235,0.486
1236,0.475
1237,0.361
1238,0.519
1239,0.576
1240,0.511
1241,0.526
1242,0.621
1243,0.673
1244,0.555
1245,0.534
1246,0.422
1247,0.448
1248,0.331
1249,0.385
1250,0.447
1251,0.619
1252,0.497
1253,0.464
1254,0.306
1255,0.536
1256,0.429
1257,0.295
1258,0.534
1259,0.475
1260,0.436
1261,0.704
1262,0.543
1263,0.534
1264,0.227
1265,0.732
1266,0.659
1267,0.588
1268,0.353
1269,0.696
1270,0.529
1271,0.525
1272,0.423
1273,0.574
1274,0.388
1275,0.519
1276,0.688
1277,0.569
1278,0.547
1279,0.511
1280,0.676
1281,0.587
1282,0.389
1283,0.528
1284,0.37
1285,0.301
1286,0.459
1287,0.545
1288,0.495
1289,0.492
1290,0.401
1291,0.436
1292,0.674
1293,0.566
1294,0.211
1295,0.305
1296,0.237
1297,0.455
1298,0.236
1299,0.468
1300,0.476
1301,0.226
1302,0.495
1303,0.296
1304,0.474
1305,0.406
1306,0.173
1307,0.404
1308,0.456
1309,0.242
1310,0.472
1311,0.227
1312,0.444
1313,0.17
1314,0.276
1315,0.401
1316,0.398
1317,0.566
1318,0.39
1319,0.336
1320,0.48
1321,0.285
1322,0.428
1323,0.256
1324,0.491
1325,0.274
1326,0.217
1327,0.261
1328,0.517
1329,0.258
1330,0.484
1331,0.387
1332,0.424
1333,0.45
1334,0.222
1335,0.455
1336,0.398
